country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",2026-08-07 11:00:00,23.80569,86.44268,CO,2.0,2.0,2.0
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",2026-08-07 11:00:00,23.707909,86.41467,NH3,3.0,3.0,3.0
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",2026-08-07 11:00:00,16.172806,75.659694,PM2.5,30.0,31.0,31.0
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-08-07 11:00:00,12.9756843,77.5660749,PM10,103.0,104.0,103.0
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-08-07 11:00:00,12.9756843,77.5660749,SO2,10.0,11.0,11.0
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",2026-08-07 11:00:00,12.9352049,77.6814488,PM10,54.0,55.0,54.0
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",2026-08-07 11:00:00,12.917348,77.622813,PM2.5,12.0,40.0,25.0
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",2026-08-07 11:00:00,12.917348,77.622813,NH3,3.0,3.0,3.0
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",2026-08-07 11:00:00,12.917348,77.622813,OZONE,18.0,22.0,20.0
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",2026-08-07 11:00:00,12.938539,77.5901,PM10,32.0,78.0,54.0
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",2026-08-07 11:00:00,12.938539,77.5901,CO,5.0,13.0,9.0
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",2026-08-07 11:00:00,19.1878657,72.8304069,PM2.5,11.0,12.0,12.0
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",2026-08-07 11:00:00,19.1878657,72.8304069,NH3,9.0,10.0,9.0
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",2026-08-07 11:00:00,18.96702,72.84214,PM2.5,23.0,54.0,35.0
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",2026-08-07 11:00:00,21.143383,79.048912,PM10,11.0,42.0,24.0
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",2026-08-07 11:00:00,21.143383,79.048912,SO2,0.0,3.0,2.0
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",2026-08-07 11:00:00,21.143383,79.048912,CO,11.0,17.0,13.0
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2026-08-07 11:00:00,21.14472,79.107595,PM10,19.0,48.0,31.0
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2026-08-07 11:00:00,21.14472,79.107595,NO2,9.0,25.0,15.0
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2026-08-07 11:00:00,21.14472,79.107595,CO,6.0,46.0,22.0
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",2026-08-07 11:00:00,21.121801,79.04952,PM2.5,8.0,55.0,24.0
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",2026-08-07 11:00:00,21.121801,79.04952,CO,8.0,30.0,19.0
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",2026-08-07 11:00:00,21.121801,79.04952,OZONE,4.0,8.0,6.0
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",2026-08-07 11:00:00,19.9591346,73.7788008,PM2.5,0.0,9.0,6.0
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",2026-08-07 11:00:00,20.0073285,73.7762427,PM2.5,7.0,25.0,14.0
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",2026-08-07 11:00:00,19.000084,72.85673,NO2,7.0,21.0,11.0
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",2026-08-07 11:00:00,19.175,72.9419,NO2,13.0,15.0,14.0
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",2026-08-07 11:00:00,18.897756,72.81332,CO,9.0,11.0,10.0
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",2026-08-07 11:00:00,19.0863,72.8888,NO2,6.0,7.0,6.0
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",2026-08-07 11:00:00,19.0863,72.8888,OZONE,28.0,29.0,28.0
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",2026-08-07 11:00:00,18.9936162,72.8128113,PM10,41.0,155.0,101.0
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",2026-08-07 11:00:00,18.9936162,72.8128113,NO2,0.0,12.0,5.0
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",2026-08-07 11:00:00,18.9936162,72.8128113,CO,28.0,35.0,31.0
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",2026-08-07 11:00:00,19.060498,72.923356,PM2.5,2.0,40.0,16.0
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",2026-08-07 11:00:00,19.060498,72.923356,OZONE,11.0,18.0,15.0
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",2026-08-07 11:00:00,19.11074,72.86084,PM2.5,15.0,36.0,25.0
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",2026-08-07 11:00:00,19.11074,72.86084,PM10,28.0,84.0,60.0
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",2026-08-07 11:00:00,16.7143745,74.2426398,NH3,2.0,3.0,2.0
